month,wins,losses,win_rate,closed_trades,buys,net_earn$
2020-01,12,11,0.522,23,30,-4869.95
2020-02,47,24,0.662,71,156,-7386.67
2020-03,97,9,0.915,106,15,21411.07
2020-04,16,3,0.842,19,23,2348.64
2020-05,32,11,0.744,43,62,-1030.74
2020-06,41,27,0.603,68,49,-12695.87
2020-07,35,10,0.778,45,54,4137.24
2020-08,53,10,0.841,63,63,7209.12
2020-09,32,24,0.571,56,46,-11253.54
2020-10,29,15,0.659,44,51,-3258.74
2020-11,34,7,0.829,41,55,3805.49
2020-12,51,30,0.63,81,65,-3921.68
2021-01,80,24,0.769,104,102,7324.74
2021-02,36,9,0.8,45,48,3537.16
2021-03,38,10,0.792,48,41,3744.38
2021-04,36,5,0.878,41,51,7550.38
2021-05,37,10,0.787,47,46,5061.54
2021-06,40,13,0.755,53,50,4918.72
2021-07,40,10,0.8,50,55,4559.0
2021-08,49,16,0.754,65,62,5186.52
2021-09,26,25,0.51,51,46,-8295.29
2021-10,42,15,0.737,57,70,1149.17
2021-11,45,29,0.608,74,63,-9379.67
2021-12,32,15,0.681,47,41,-1957.74
2022-01,73,26,0.737,99,114,-1623.04
2022-02,34,21,0.618,55,49,-6518.05
2022-03,41,18,0.695,59,50,-3650.87
2022-04,32,17,0.653,49,51,-4857.03
2022-05,8,11,0.421,19,29,-7497.0
2022-06,75,23,0.765,98,93,2522.36
2022-07,40,10,0.8,50,59,3412.44
2022-08,42,18,0.7,60,46,-3984.04
2022-09,28,11,0.718,39,40,1141.96
2022-10,56,9,0.862,65,67,10415.66
2022-11,18,10,0.643,28,235,-3342.39
2022-12,165,77,0.682,242,32,-8498.72
2023-01,48,14,0.774,62,91,4286.69
2023-02,58,28,0.674,86,66,-1019.34
2023-03,37,16,0.698,53,49,-2659.53
2023-04,48,10,0.828,58,68,6352.84
2023-05,44,26,0.629,70,85,-4366.49
2023-06,47,21,0.691,68,40,1963.97
2023-07,48,7,0.873,55,58,10045.08
2023-08,41,16,0.719,57,56,561.89
2023-09,19,12,0.613,31,29,-1713.47
2023-10,23,13,0.639,36,44,-3483.94
2023-11,51,8,0.864,59,104,10432.41
2023-12,87,24,0.784,111,55,12781.18
2024-01,52,13,0.8,65,74,7898.99
2024-02,61,27,0.693,88,95,-2199.43
2024-03,70,13,0.843,83,76,11814.08
2024-04,34,11,0.756,45,45,1843.64
2024-05,35,14,0.714,49,140,3591.24
2024-06,63,68,0.481,131,45,-26787.22
2024-07,47,25,0.653,72,71,-6139.56
2024-08,38,17,0.691,55,51,-1650.78
2024-09,49,13,0.79,62,61,7680.89
2024-10,38,19,0.667,57,69,340.63
2024-11,52,16,0.765,68,62,6510.96
2024-12,10,18,0.357,28,18,-10431.3
2025-01,35,13,0.729,48,56,-233.31
2025-02,65,19,0.774,84,86,5688.94
2025-03,44,10,0.815,54,52,4863.05
2025-04,96,16,0.857,112,117,16145.48
2025-05,41,14,0.745,55,64,2888.4
